set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 2,00:06:23,00:15:10,Zratey,roy,Semek,ryu
Winners Round 2,00:20:50,00:28:00,Comtesse de Semor,minmin,None Utah,rondoudou
Winners Round 3,00:31:38,00:37:33,Vulpil,falco,Prime Fortnite Gaming 69,steve
Winners Round 3,00:40:45,00:47:40,Sakusaie,littlemac,OsReish,random
Winners Quarter-Final,00:51:05,00:56:51,Prime Fortnite Gaming 69,palutena,Noka,ike
Winners Quarter-Final,01:06:55,01:15:00,Frero,joker,Moufi,sheik
Losers Round 5,01:26:23,01:33:07,Necroma,Link Enfant/Captain Falcon,Xenoww,dresseurpokémon
Winners Semi-Final,01:35:55,01:46:40,Moufi,Luigi/Wario,OsReish,Bowser/Ridley
Winners Semi-Final,01:48:30,01:56:15,Prime Fortnite Gaming 69,Palutena/Entraîneur Wii Fit,Lao,minmin
Winners Final,01:58:05,02:14:50,Prime Fortnite Gaming 69,Palutena/Entraîneur Wii Fit,OsReish,bowser
Losers Semi-Final,02:30:42,02:46:30,Lao,minmin,Moufi,wario
Losers Final,02:47:28,03:07:22,OsReish,ridley,Moufi,wario
Grand Final,03:08:06,03:30:40,Prime Fortnite Gaming 69,wiifit,Moufi,wario
