set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 1,00:00:00,00:07:37,eChamp ProfPtera,heros,Nahzer,byleth
Winners Round 1,00:11:53,00:19:01,HPIPI iAmako,joker,Xenoww,dresseurpokemon
Winners Round 1,00:25:34,00:32:59,HPIPI Walecro,mario,Nelou,steve
Winners Round 2,00:38:01,00:44:27,Semek,ryu,Touheris,bowserjr
Winners Quarter Final,01:01:55,01:13:42,SR Necroma,metaknight,Palirex,ike
Winners Semi Final,01:17:35,01:24:39,DEH Lao,zelda,ECR Prime Fortnite Gaming 69,palutena
Winners Semi Final,01:27:36,01:32:57,ARK Rulta,joker,SR Necroma,pacman
Winners Final,01:42:03,01:54:44,ECR Prime Fortnite Gaming 69,palutena,SR Necroma,felinferno
Losers Round 5,01:59:13,02:15:25,Frostiz,pikachu,Palirex,ike
Losers Quarter Final,02:17:12,02:31:52,ARK Rulta,joker,Touheris,bowserjr
Losers Semi Final,02:34:29,02:50:21,DEH Lao,zelda,Touheris,bowserjr
Losers Final,02:53:11,03:04:12,SR Necroma,steve,Touheris,bowserjr
Grand Final,03:06:05,03:25:32,SR Necroma,steve,ECR Prime Fortnite Gaming 69,palutena
