set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 2,00:01:42,00:14:25,Semek,ryu,Frostiz,pikachu
Winners Round 2,00:19:16,00:24:36,LeDindonBarbare,pyramythra,TBG Sakusaie,littlemac
Winners Round 3,00:44:26,00:56:25,SR Necroma,pacman,Noka,ike
Winners Round 3,00:58:27,01:06:00,ARK Rulta,rob,LeDindonBarbare,pyramythra
Winners Quarter Final,01:10:10,01:18:51,SR Osreish,ridley,VGY moufi,wario
Winners Quarter Final,01:22:50,01:35:50,ECR Prime Fortnite Gaming 69,palutena,R-B Palouse,luigi
Losers Round 4,01:43:15,01:52:36,Jepacor,mario,R-B Elphara,luigi
Winners Semi Final,01:56:08,02:03:22,ARK Rulta,rob,DEH Lao,minmin
Winners Semi Final,02:06:18,02:13:12,SR Osreish,bowser,ECR Prime Fortnite Gaming 69,palutena
Winners Final,02:15:25,02:27:15,ECR Prime Fortnite Gaming 69,wiifit,ARK Rulta,rob
Losers Quarter Final,02:33:28,02:42:43,VGY moufi,wario,DEH Lao,minmin
Losers Quarter Final,02:53:20,02:59:25,SR Necroma,wolf,SR Osreish,bowser
Losers Semi Final,03:03:12,03:14:55,VGY moufi,wario,SR Osreish,ridley
Losers Final,03:16:08,03:35:52,VGY moufi,wario,ECR Prime Fortnite Gaming 69,wiifit
Grand Final,03:38:57,03:53:16,VGY moufi,wario,ARK Rulta,rob
