set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin,video_title
Winners Round 1,00:07:07,00:14:25,HPIPI Walecro,mario,HPIPI iAmako,joker,HPIPI Walecro (mario) vs HPIPI iAmako (joker) - Winners Round 1 - Biscuit Crown #14
Winners Round 2,00:17:50,00:24:07,Palirex,ike,Ney,ness,Palirex (ike) vs Ney (ness) - Winners Round 2 - Biscuit Crown #14
Winners Round 2,00:29:44,00:38:30,R-B Palouse,gameandwatch,Matt,miibrawler,R-B Palouse (gameandwatch) vs Matt (miibrawler) - Winners Round 2 - Biscuit Crown #14
Winners Round 3,00:47:29,00:58:15,Palirex,ike,SR Necroma,ryu,Palirex (ike) vs SR Necroma (ryu) - Winners Round 3 - Biscuit Crown #14
Winners Round 3,01:07:56,01:15:25,SR OsReish,corrin,TBG Sakusaie,littlemac,SR OsReish (corrin) vs TBG Sakusaie (littlemac) - Winners Round 3 - Biscuit Crown #14
Winners Semi-Final,01:18:57,01:26:22,ECR Thena,palutena,SR Necroma,ryu,ECR Thena (palutena) vs SR Necroma (ryu) - Winners Semi-Final - Biscuit Crown #14
Winners Semi-Final,01:31:11,01:37:36,SR OsReish,ridley,DEH Lao,minmin,SR OsReish (ridley) vs DEH Lao (minmin) - Winners Semi-Final - Biscuit Crown #14
Winners Final,01:41:55,01:52:32,SR OsReish,ridley,ECR Thena,wiifit,SR OsReish (ridley) vs ECR Thena (wiifittrainer) - Winners Final - Biscuit Crown #14
Losers Round 5,01:55:56,02:03:10,Urban Dynastes,felinferno,Palirex,ike,Urban Dynastes (incineroar) vs Palirex (ike) - Losers Round 5 - Biscuit Crown #14
Losers Quarter-Final,02:06:52,02:13:07,Palirex,ike,DEH Lao,minmin,Palirex (ike) vs DEH Lao (minmin) - Losers Quarter-Final - Biscuit Crown #14
Losers Quarter-Final,02:15:48,02:25:13,R-B Palouse,luigi,SR Necroma,pacman,R-B Palouse (luigi) vs SR Necroma (pacman) - Losers Quarter-Final - Biscuit Crown #14
Losers Semi-Final,02:30:27,02:49:22,DEH Lao,minmin,SR Necroma,pacman,DEH Lao (minmin) vs SR Necroma (pacman) - Losers Semi-Final - Biscuit Crown #14
Losers Final,02:52:55,03:05:28,SR Necroma,steve,SR OsReish,bowser,SR Necroma (steve) vs SR OsReish (bowser) - Losers Final - Biscuit Crown #14
Grand Final,03:06:52,03:24:38,ECR Thena,wiifit,SR OsReish,bowser,ECR Thena (wiifittrainer) vs SR OsReish (bowser) - Grand Final - Biscuit Crown #14
