set_name,start1,end1,player1_name,player1_skin,player2_name,player2_skin
Winners Round 2,00:03:55,00:13:00,TBG Ney,ness,LeDindonBarbare,pyramythra
Winners Round 2,00:16:55,00:30:50,TBG Vulpil,falco,Cuenty,joker
Winners Round 3,00:33:15,00:42:02,Noka,ike,Polokokote,pacman
Winners Round 3,00:49:45,00:56:08,Frero,joker,Semek,ryu
Winners Quarter Final,00:59:45,01:10:32,Noka,ikeaegis,ECR Thena,palutena
Winners Quarter Final,01:15:45,01:22:53,Touheris,kingkroolmii brawler,SR Necroma,steve
Winners Quarter Final,01:24:57,01:36:05,VGY Moufi,wario,R-B Palirex,ike
Losers Round 5,01:45:18,01:49:52,Prof.Ptera,heros,Noka,ike
Winners Semi-Final,01:53:09,02:06:00,SR Necroma,steve,ECR Thena,wiifit
Winners Semi-Final,02:08:15,02:14:22,VGY Moufi,metaknight,HRT Lao,zelda
Winners Final,02:16:32,02:34:23,VGY Moufi,wario,ECR Thena,wiifit
Losers Semi-Final,02:41:07,02:42:50,DEH HRT Lao,minmin,SR Necroma,steve
Losers Semi-Final,00:00:00,00:05:43,DEH HRT Lao,minmin,SR Necroma,steve
Losers Final,00:08:06,00:22:27,VGY Moufi,metaknightwario,DEH HRT Lao,minmin
Grand Final,00:23:21,00:39:48,ECR Thena,wiifit,DEH HRT Lao,minmin
Grand Final Reset,00:40:12,00:56:00,ECR Thena,wiifit,DEH HRT Lao,minmin
